GUT_GENOME059748_01381 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME059748_02542 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME086113_00611 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME086113_00886 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME086113_01874 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME086113_01932 bin3  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME086113_02181 tetM  Tetracycline resistance protein TetM from transposon TnFO1
GUT_GENOME245965_01208 tetM  Tetracycline resistance protein TetM from transposon TnFO1
GUT_GENOME245965_01298 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME245965_02598 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME016382_01258 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME016382_02152 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME103010_01795 tetM  Tetracycline resistance protein TetM from transposon TnFO1
GUT_GENOME103010_02497 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME103010_02897 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME008197_01168 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME008197_01532 tetM  Tetracycline resistance protein TetM from transposon TnFO1
GUT_GENOME008197_02250 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME285973_00671 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME285973_01372 tetM  Tetracycline resistance protein TetM from transposon Tn916
GUT_GENOME285973_01572 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME285973_02064 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME250128_01135 bin3  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME250128_01468 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME250128_01726 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME250128_03344 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME189509_00651 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME189509_01770 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME189509_02311 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME189509_02524 Int-Tn_4  Transposase from transposon Tn916
GUT_GENOME189509_02724 Int-Tn_5  Transposase from transposon Tn916
GUT_GENOME162290_00169 bin3  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME162290_00174 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME162290_01277 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME162290_01688 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME162290_02812 Int-Tn_4  Transposase from transposon Tn916
GUT_GENOME162290_02948 tetM  Tetracycline resistance protein TetM from transposon TnFO1
GUT_GENOME162290_03458 Int-Tn_5  Transposase from transposon Tn916
GUT_GENOME196663_00894 tetM  Tetracycline resistance protein TetM from transposon TnFO1
GUT_GENOME196663_00930 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME196663_01953 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME196663_01958 bin3  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME196663_02808 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME196663_02823 Int-Tn_4  Transposase from transposon Tn916
GUT_GENOME028820_01115 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME028820_02453 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME028820_03104 tetM  Tetracycline resistance protein TetM from transposon TnFO1
GUT_GENOME028820_03208 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME107365_00812 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME107365_01911 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME107365_03119 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME249386_00866 tetM  Tetracycline resistance protein TetM from transposon TnFO1
GUT_GENOME249386_01394 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME249386_02247 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME107047_00032 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME107047_01402 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME107047_01883 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME107047_02560 Int-Tn_4  Transposase from transposon Tn916
GUT_GENOME000295_01232 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME000295_01306 bin3  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME000295_01964 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME000295_02466 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME000295_02878 Int-Tn_4  Transposase from transposon Tn916
GUT_GENOME000295_03035 Int-Tn_5  Transposase from transposon Tn916
GUT_GENOME000295_03320 Int-Tn_6  Transposase from transposon Tn916
GUT_GENOME000295_03733 Int-Tn_7  Transposase from transposon Tn916
GUT_GENOME194636_00193 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME194636_02122 bin3_1  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME194636_02226 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME194636_02468 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME194636_03109 bin3_2  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME194636_03519 Int-Tn_4  Transposase from transposon Tn916
GUT_GENOME072106_00846 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME072106_02676 tetM  Tetracycline resistance protein TetM from transposon TnFO1
GUT_GENOME072106_02750 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME072106_03248 bin3  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME023066_00265 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME023066_02537 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME023066_02561 bin3_1  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME023066_02712 bin3_2  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME023066_02886 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME275349_00100 bin3_1  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME275349_00495 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME275349_00632 bin3_2  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME275349_01450 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME210991_00381 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME210991_00583 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME210991_00624 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME187966_00914 bin3_1  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME187966_00956 tetM  Tetracycline resistance protein TetM from transposon TnFO1
GUT_GENOME187966_01185 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME187966_01269 bin3_2  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME187966_02430 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME187966_02651 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME187966_02800 Int-Tn_4  Transposase from transposon Tn916
GUT_GENOME230605_00178 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME230605_00484 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME230605_00808 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME230605_02953 Int-Tn_4  Transposase from transposon Tn916
GUT_GENOME263937_00720 tetM  Tetracycline resistance protein TetM from transposon TnFO1
GUT_GENOME263937_00812 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME263937_01216 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME197893_01752 Int-Tn  Transposase from transposon Tn916
GUT_GENOME102796_01767 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME102796_02376 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME102796_02510 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME102796_02777 Int-Tn_4  Transposase from transposon Tn916
GUT_GENOME257623_00398 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME257623_02191 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME257623_02780 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME278665_02165 tetM  Tetracycline resistance protein TetM from transposon Tn916
GUT_GENOME278665_02211 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME278665_02585 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME278665_02590 bin3  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME278665_02937 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME147549_02263 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME147549_02268 bin3  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME147549_03442 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME147549_03535 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME147549_03661 Int-Tn_4  Transposase from transposon Tn916
GUT_GENOME282121_00822 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME282121_01046 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME282121_01361 bin3  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME282121_01555 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME071293_02757 Int-Tn  Transposase from transposon Tn916
GUT_GENOME107571_00345 Int-Tn_1  Transposase from transposon Tn916
GUT_GENOME107571_01059 Int-Tn_2  Transposase from transposon Tn916
GUT_GENOME107571_01100 tetM  Tetracycline resistance protein TetM from transposon TnFO1
GUT_GENOME107571_01406 Int-Tn_3  Transposase from transposon Tn916
GUT_GENOME107571_02017 Int-Tn_4  Transposase from transposon Tn916
GUT_GENOME107571_02790 bin3  Putative transposon Tn552 DNA-invertase bin3
GUT_GENOME107571_03706 Int-Tn_5  Transposase from transposon Tn916
GUT_GENOME154600_00299 tetM  Tetracycline resistance protein TetM from transposon TnFO1
